nombre,cantidad,anio
Ramon Francisco,5,1925
Rosa Antonia,5,1925
Blanca Elena,5,1925
Ita,5,1925
Nelly Noemi,5,1925
Maria Socorro,5,1925
Secundina,5,1925
Maria Rufina,5,1925
Rosa Del Carmen,5,1925
Angel Custodio,5,1925
Marta Nélida,5,1925
Jose Vicente,5,1925
Maria Azucena,5,1925
Teresa Antonia,5,1925
Luis Francisco,5,1925
Rosalina,5,1925
Maria Alta Gracia,5,1925
Maria Martina,5,1925
Jorge Raul,5,1925
Elsa Yolanda,5,1925
Elvira Rosa,5,1925
Samuel Richard Allen,5,1925
Mercedes Rosa,5,1925
Rosa Juana,5,1925
Rosa del Valle,5,1925
Martin Ruperto,5,1925
Jose Ernesto,5,1925
Carlos Humberto,5,1925
Hebe,5,1925
Elva Maria,5,1925
Carmen Haydée,5,1925
Mafalda Hermenegilda,5,1925
Alejo,5,1925
Dorina,5,1925
Carlina,5,1925
Esther Catalina,5,1925
Elma,5,1925
Jorge Roberto,5,1925
Carlos Rodolfo,5,1925
Epifanio,5,1925
Laura Elena,5,1925
Umberto,5,1925
Pedro Anatolio Lino,5,1925
Haida Elena,5,1925
Rosa Raquel,5,1925
Olga Amelia,5,1925
Guillermo Osvaldo,5,1925
María de los Angeles,5,1925
Julia Elvira,5,1925
Doraliza,5,1925
Lidia Catalina,5,1925
Duilio Osbaldo,5,1925
Vanda,5,1925
Genara,5,1925
Maria Eulalia,5,1925
Elsa Francisca,5,1925
Rosa Nelida,5,1925
Emma Margarita,5,1925
Matilde Esther,5,1925
Holga,5,1925
Amalia Antonia,5,1925
Julia Amanda,5,1925
Francisco Segundo,5,1925
Juan Guillermo,5,1925
Maria Laura,5,1925
Audelina,5,1925
Noemi Maria,5,1925
Maria Aurelia,5,1925
Salome,5,1925
Maria Ernestina,5,1925
Lilia Elsa,5,1925
Agapito,5,1925
Yolanda Carmen,5,1925
Fany,5,1925
Ana Isabel,5,1925
Deidamia,5,1925
Aquilino,5,1925
Mario Alfredo,5,1925
Tatiana,5,1925
Celedonio,5,1925
Hilda Antonia,5,1925
Jaime Luis,5,1925
Dalmacia,5,1925
Corradina,5,1925
Juana Luisa,5,1925
Candida,5,1925
Pedro Francisco,5,1925
Elsa Victoria,5,1925
Ruben Osvaldo,5,1925
José Roberto,5,1925
Pedro Eduardo,5,1925
Desiderio Bartolome,5,1925
Gaspar,5,1925
Adelia,5,1925
Jorge Jose,5,1925
Rino,5,1925
Haydee Ramona,5,1925
Margarita Irma,5,1925
Irma Isabel,5,1925
Juana Magdalena,5,1925
Amelia Carmen,5,1925
Haydee Esther,5,1925
